Common Name,County,City,Locality Detail,Latitude,Latitude Units,Latitude Actual/Estimate,Longitude,Longitude Units,Longitude Actual/Estimate,How lat/long determined,Restrand,Group Event Flag,Group Type: UME,Findings of Human Interaction,Boat Collision,Shot,Fishery Interaction,SW Fishery Type,Other Human Interaction,Other Human Int Description,SW Other Human Int Type,How Determined: External Exam,How Determined: Internal Exam,How Determined: Necropsy,How Determined: Other,How Determined: Describe,Other Findings upon Level Y/N,Other Findings - Illness,Other Findings - Injury,Other Findings - Pregnant,Other Findings - Other,Other Findings - Descibe,SW Other Findings Type,Observation Date,How Observed,Observation Status,Date of Examination,Condition at Examination,Left at Site,Immediate Release at Site,Relocated,Disentangled,Euthanized at Site,Died at Site,Transfer to Rehab,Date of Initial Disposition,Rehab Facility Name,Died During Transport,Euthanized During Transport,Other,Other Describe,Sick,Injured,Out of Habitat,Deemed Healthy/Releasable,Abandoned/Orphaned,Inaccesible,Location Hazardous to Animal,Location Hazardous Public,Unknown/CBD,Condition Other,Condition Other Description,Condition Comments,Sex,Age Class,Whole Carcass,Partial Carcass,Length,Length Units,Length actual/estimate,Weight,Weight Units,Weight actual/estimate,Carcass Left at Site,Carcass Buried,Carcass Rendered,Carcass Towed,Carcass Sunk,Carcass Sunk Lattitude,Carcass Sunk Longitude,Carcass Frozen for Later Exam,Carcass Landfill,Carcass Unknown,Carcass Other,Carcass Other Description,Other Collection Comments,Necropsied,Necropsy Limited Flag,Date of Necropsy,Additional Remarks
"Seal, northern elephant",Santa Barbara,Santa Barbara,Beltmore/Coral Casino,34.426944,decimal degrees,actual,-119.647778,decimal degrees,actual,GPS,N,N,N,N,N,N,N,,N,,,Y,N,N,N,,Y,N,N,N,Y,weaner,,4/10/11,Beach or Land,Alive,4/10/11,,N,N,Y,N,N,N,Y,4/10/11,Santa Barbara Marine Mammal Center,N,N,N,,N,N,N,Y,N,N,N,N,N,N,,,FEMALE,PUP/CALF,N,N,46,in,actual,133,lb,actual,N,N,N,N,N,,,N,N,N,N,,,N,,,"weaner checked out ok, deemed releasable"
"Seal, northern elephant",Santa Barbara,Goleta,Isla Vista-UCSB Lagoon,34.411944,decimal degrees,actual,-119.850833,decimal degrees,actual,GPS,N,N,N,N,N,N,N,,N,,,Y,N,N,N,,Y,N,N,N,Y,weaner,,4/10/11,Beach or Land,Alive,4/10/11,Alive,N,N,Y,N,N,N,Y,4/10/11,Santa Barbara Marine Mammal Center,N,N,N,,N,N,N,Y,N,N,N,N,N,N,,,UNKNOWN,PUP/CALF,N,N,45,in,actual,138,lb,actual,N,N,N,N,N,,,N,N,N,N,,,N,,,"weaner checked out ok, deemed releasable"
"Seal, northern elephant",Santa Barbara,Santa Barbara,East Beach,34.426667,decimal degrees,,-119.670833,decimal degrees,actual,GPS,N,N,N,N,N,N,N,,N,,,Y,N,N,N,,Y,N,N,N,Y,weaner,,4/13/11,Beach or Land,Alive,4/13/11,Alive,N,N,Y,N,N,N,Y,4/13/11,Santa Barbara Marine Mammal Center,N,N,N,,N,N,N,Y,N,N,N,N,N,N,,,FEMALE,PUP/CALF,N,N,51,in,actual,182,lb,actual,N,N,N,N,N,,,N,N,N,N,,,N,,,"weaner checked out ok, deemed releasable"
"Seal, northern elephant",Santa Barbara,Santa Barbara,Leadbetter Beach,34.402222,decimal degrees,actual,-119.71,decimal degrees,actual,GPS,N,N,N,N,N,N,N,,N,,,Y,N,N,N,,Y,N,N,N,Y,weaner,,4/14/11,Beach or Land,Alive,4/14/11,Alive,N,N,Y,N,N,N,Y,4/14/11,Santa Barbara Marine Mammal Center,N,N,N,,N,N,N,Y,N,N,N,N,N,N,,,MALE,PUP/CALF,N,N,50,in,actual,170,lb,actual,N,N,N,N,N,,,N,N,N,N,,,N,,,"weaner checked out ok, deemed releasable"
"Seal, northern elephant",Santa Barbara,Santa Barbara,Hendrys Beach,34.404167,decimal degrees,actual,-119.750833,decimal degrees,actual,GPS,N,N,N,N,N,N,N,,N,,,Y,N,N,N,,Y,N,N,N,Y,weaner,,4/14/11,Beach or Land,Alive,4/14/11,Alive,N,N,Y,N,N,N,Y,4/14/11,Santa Barbara Marine Mammal Center,N,N,N,,N,N,N,Y,N,N,N,N,N,N,,,MALE,PUP/CALF,N,N,54,in,actual,260,lb,actual,N,N,N,N,N,,,N,N,N,N,,,N,,,"weaner checked out ok, deemed releasable"
"Seal, northern elephant",Santa Barbara,Goleta,Coal Oil Point,34.413056,decimal degrees,actual,-119.883611,decimal degrees,actual,GPS,N,N,N,N,N,N,N,,N,,,Y,N,N,N,,Y,N,N,N,Y,weaner,,4/14/11,Beach or Land,Alive,4/14/11,Alive,N,N,Y,N,N,N,Y,4/14/11,Santa Barbara Marine Mammal Center,N,N,N,,N,N,N,Y,N,N,N,N,N,N,,,FEMALE,PUP/CALF,N,N,49,in,actual,166,lb,actual,N,N,N,N,N,,,N,N,N,N,,,N,,,"weaner checked out ok, deemed releasable"
"Seal, northern elephant",Santa Barbara,Goleta,Gaviota State Beach,34.474444,decimal degrees,actual,-120.235278,decimal degrees,actual,GPS,N,N,N,N,N,N,N,,N,,,N,N,N,N,,Y,N,N,N,Y,weaner,,4/15/11,Beach or Land,Alive,4/15/11,Alive,N,N,Y,N,N,N,Y,4/15/11,Santa Barbara Marine Mammal Center,N,N,N,,N,N,N,Y,N,N,N,N,N,N,,,FEMALE,PUP/CALF,N,N,52,in,actual,249,lb,actual,N,N,N,N,N,,,N,N,N,N,,,N,,,"weaner checked out ok, deemed releasable"
"Seal, northern elephant",Santa Barbara,Summerland,Look Out Park,34.421111,decimal degrees,actual,-119.601944,decimal degrees,actual,GPS,N,N,N,N,N,N,N,,N,,,Y,N,N,N,,Y,N,N,N,Y,weaner,,4/16/11,Beach or Land,Alive,4/16/11,Alive,N,N,Y,N,N,N,Y,4/16/11,Santa Barbara Marine Mammal Center,N,N,N,,N,N,N,Y,N,N,N,N,N,N,,,MALE,PUP/CALF,N,N,53,in,actual,174,lb,actual,N,N,N,N,N,,,N,N,N,N,,,N,,,"weaner checked out ok, deemed releasable"
"Seal, northern elephant",Santa Barbara,Goleta,"Isla Vista, UCSB Lagoon",34.411944,decimal degrees,actual,-119.850833,decimal degrees,actual,GPS,N,N,N,N,N,N,N,,N,,,Y,N,N,N,,Y,N,N,N,Y,weaner,,4/16/11,Beach or Land,Alive,4/16/11,Alive,N,N,N,N,N,N,Y,4/16/11,Santa Barbara Marine Mammal Center,N,N,N,,Y,Y,N,N,N,N,N,N,N,N,,,FEMALE,PUP/CALF,N,N,46,in,actual,106,lb,actual,N,N,N,N,N,,,N,N,N,N,,,N,,,Very thin
"Seal, northern elephant",Santa Barbara,Goleta,"Isla Vista, UCSB Lagoon",34.411944,decimal degrees,actual,-119.850833,decimal degrees,actual,GPS,N,N,N,N,N,N,N,,N,,,Y,N,N,N,,Y,N,N,N,Y,"weaner, cut on hind flipper",,4/20/11,Beach or Land,Alive,4/20/11,Alive,N,N,Y,N,N,N,Y,4/20/11,Santa Barbara Marine Mammal Center,N,N,N,,N,N,N,Y,N,N,N,N,N,N,,,FEMALE,PUP/CALF,N,N,54,in,actual,211,lb,actual,N,N,N,N,N,,,N,N,N,N,,,N,,,"weaner checked out ok, deemed releasable"
"Seal, northern elephant",Santa Barbara,Summerland,Lookout Park,34.421111,decimal degrees,actual,-119.601944,decimal degrees,actual,GPS,N,N,N,N,N,N,N,,N,,,Y,N,N,N,,Y,N,N,N,Y,weaner,,4/21/11,Beach or Land,Alive,4/21/11,Alive,N,N,Y,N,N,N,Y,4/21/11,Santa Barbara Marine Mammal Center,N,N,N,,N,N,N,Y,N,N,N,N,N,N,,,MALE,PUP/CALF,N,N,54,in,actual,249,lb,actual,N,N,N,N,N,,,N,N,N,N,,,N,,,"weaner checked out ok, deemed releasable"
"Seal, northern elephant",Santa Barbara,Santa Barbara,Thousand steps,34.403611,decimal degrees,actual,-119.7225,decimal degrees,actual,GPS,N,N,N,N,N,N,N,,N,,,Y,N,N,N,,Y,N,N,N,Y,weaner,,4/23/11,Beach or Land,Alive,4/21/11,Alive,N,N,Y,N,N,N,N,,,N,N,N,,N,N,N,Y,N,N,N,N,N,N,,"released at Bacara/Ellwood 34.44138888888889, -119.91861111111112",MALE,PUP/CALF,N,N,53,in,actual,221,lb,actual,N,N,N,N,N,,,N,N,N,N,,,N,,,
"Seal, northern elephant",Santa Barbara,Santa Barbra,Shoreline park,34.40556,decimal degrees,actual,-119.7094,decimal degrees,actual,GPS,N,N,N,N,N,N,N,,N,,,Y,N,N,N,,Y,N,N,N,Y,Minor eye ailment,,5/10/11,,Alive,5/10/11,Alive,N,N,N,N,N,N,Y,5/10/11,Santa Barbara Marine Mammal Center,N,N,N,,N,Y,N,N,N,N,N,N,N,Y,,Minor Eye ailment,FEMALE,PUP/CALF,N,N,46,in,actual,176,lb,actual,N,N,N,N,N,,,N,N,N,N,,,N,,,
"Seal, northern elephant",Santa Barbara,Santa Barbra,Braemar/Arroyo Burro Bea,34.40889,decimal degrees,actual,-119.7575,decimal degrees,actual,GPS,N,N,N,N,N,N,N,,N,,,Y,N,N,N,,Y,N,N,N,Y,"thin, malnutrition, resp. problems",,5/28/11,,Alive,5/28/11,Alive,N,N,N,N,N,N,Y,5/28/11,Santa Barbara Marine Mammal Center,N,N,N,,N,N,N,N,N,N,N,N,N,Y,,thin malnutrition resp. problems.,MALE,PUP/CALF,N,N,49,in,actual,152,lb,actual,N,N,N,N,N,,,N,N,N,N,,,N,,,
"Seal, northern elephant",Santa Barbara,Goleta,Goleta Isla Vista,34.41194,decimal degrees,actual,-119.8508,decimal degrees,actual,GPS,N,N,N,N,N,N,N,,N,,,Y,N,N,N,,Y,N,N,N,Y,infected fat fish spine in head multiple bites,,6/23/11,,Alive,6/23/11,Alive,N,N,N,N,N,N,Y,6/23/11,Santa Barbara Marine Mammal Center,N,N,N,,N,Y,N,N,N,N,N,N,N,Y,infected fat fish spine in head multiple bites,,FEMALE,PUP/CALF,N,N,54,in,actual,176,lb,actual,N,N,N,N,N,,,N,N,N,N,,,N,,,
"Seal, northern elephant",Santa Barbara,SB,EAST BEACH,34.2496,DECIMAL DEGREES,actual,-119.4015,DECIMAL DEGREES,actual,GPS,N,N,,N,N,N,N,,N,,,Y,N,N,N,,Y,N,N,N,Y,VERY THIN,,2/25/12,Beach or Land,Alive,2/25/12,Alive,N,N,N,N,N,N,Y,2/25/12,Santa Barbara Marine Mammal Center,N,N,N,,Y,N,N,N,N,N,N,N,N,Y,"WEANER, VERY THIN",,FEMALE,PUP/CALF,N,N,45,in,actual,41,lb,actual,N,N,N,N,N,,,N,N,N,N,,,N,,,
"Seal, northern elephant",Santa Barbara,SB,ARROYO BURRO BEACH,34.2379,DECIMAL DEGREES,actual,-119.4384,DECIMAL DEGREES,actual,GPS,N,N,,N,N,N,N,,N,,,Y,N,N,N,,Y,N,N,N,Y,WEANER,,3/1/12,Beach or Land,Alive,3/1/12,Alive,N,N,Y,N,N,N,N,,,N,N,N,RELEASED AT GAVIOTA STATE BEACH,N,N,N,Y,N,N,N,N,N,Y,WEANER CHECKED OUT OKAY,,FEMALE,PUP/CALF,N,N,52,in,actual,176,lb,actual,N,N,N,N,N,,,N,N,N,N,,,N,,,"RELEASED AT GAVIOTA STATE BEACH LAT 34.2828, LONG -120.1367"
"Seal, northern elephant",Santa Barbara,SB,ELEVATOR HOPE RANCH,34.2477,DECIMAL DEGREES,actual,-119.4655,DECIMAL DEGREES,actual,GPS,N,N,,N,N,N,N,,N,,,Y,N,N,N,,Y,N,N,N,Y,WEANER,,3/3/12,Beach or Land,Alive,3/3/12,Alive,N,N,Y,N,N,N,N,,,N,N,N,RELEASED AT GAVIOTA STATE BEACH,N,N,N,Y,N,N,N,N,N,Y,WEANER CHECKED OUT OKAY,,MALE,PUP/CALF,N,N,54,in,actual,228,lb,actual,N,N,N,N,N,,,N,N,N,N,,,N,,,"RELEASED AT GAVIOTA STATE BEACH LAT 34.2828, LONG -120.1367"
"Seal, northern elephant",Santa Barbara,SB,MORE MESA,34.25,DECIMAL DEGREES,actual,-119.4719,DECIMAL DEGREES,actual,GPS,N,N,,N,N,N,N,,N,,,Y,N,N,N,,Y,N,N,N,Y,WEANER,,3/3/12,Beach or Land,Alive,3/3/12,Alive,N,N,Y,N,N,N,N,,,N,N,N,RELEASED AT GAVIOTA STATE BEACH,N,N,N,Y,N,N,N,N,N,Y,WEANER CHECKED OUT OKAY,,MALE,PUP/CALF,N,N,0,in,actual,,lb,actual,N,N,N,N,N,,,N,N,N,N,,,N,,,"RELEASED AT GAVIOTA STATE BEACH LAT 34.2828, LONG -120.1367"
"Seal, northern elephant",Santa Barbara,MORE MESA,,34.25,DECIMAL DEGREES,actual,-119.4719,DECIMAL DEGREES,actual,GPS,N,N,,N,N,N,N,,N,,,Y,N,N,N,,Y,N,N,N,Y,WEANER,,3/4/12,Beach or Land,Alive,3/4/12,Alive,N,N,Y,N,N,N,N,,,N,N,N,RELEASED AT GAVIOTA STATE BEACH,N,N,N,Y,N,N,N,N,N,Y,WEANER CHECKED OUT OKAY,,MALE,PUP/CALF,N,N,49,in,actual,169,lb,actual,N,N,N,N,N,,,N,N,N,N,,,N,,,"RELEASED AT GAVIOTA STATE BEACH LAT 34.2828, LONG -120.1367"
"Seal, northern elephant",Santa Barbara,CARPINTERIA,LINDEN AVE,34.2359,DECIMAL DEGREES,actual,-119.3145,DECIMAL DEGREES,actual,GPS,N,N,,N,N,N,N,,N,,,Y,N,N,N,,Y,N,N,N,Y,WEANER,,3/5/12,Beach or Land,Alive,3/5/12,Alive,N,N,Y,N,N,N,N,,,N,N,N,RELEASED AT GAVIOTA STATE BEACH,N,N,N,Y,N,N,N,N,N,Y,WEANER CHECKED OUT OKAY,,FEMALE,PUP/CALF,N,N,49,in,actual,188,lb,actual,N,N,N,N,N,,,N,N,N,N,,,N,,,"RELEASED AT GAVIOTA STATE BEACH LAT 34.2828, LONG -120.1367"
"Seal, northern elephant",Santa Barbara,SB,MORE MESA,34.25,DECIMAL DEGREES,actual,-119.4719,DECIMAL DEGREES,actual,GPS,N,N,,N,N,N,N,,N,,,Y,N,N,N,,Y,N,N,N,Y,WEANER,,3/6/12,Beach or Land,Alive,3/6/12,Alive,N,N,Y,N,N,N,N,,,N,N,N,RELEASED AT GAVIOTA STATE BEACH,N,N,N,Y,N,N,N,N,N,Y,WEANER CHECKED OUT OKAY,,MALE,PUP/CALF,N,N,54,in,actual,197,lb,actual,N,N,N,N,N,,,N,N,N,N,,,N,,,"RELEASED AT GAVIOTA STATE BEACH LAT 34.2828, LONG -120.1367"
"Seal, northern elephant",Santa Barbara,GOLETA,ELLWOOD PIER,34.26,DECIMAL DEGREES,actual,-119.5533,DECIMAL DEGREES,actual,GPS,N,N,,N,N,N,N,,N,,,Y,N,N,N,,Y,N,N,N,Y,WEANER,,3/9/12,Beach or Land,Alive,3/9/12,Alive,N,N,Y,N,N,N,N,,,N,N,N,RELEASED AT GAVIOTA STATE BEACH,N,N,N,Y,N,N,N,N,N,Y,WEANER CHECKED OUT OKAY,,MALE,PUP/CALF,N,N,49,in,actual,206,lb,actual,N,N,N,N,N,,,N,N,N,N,,,N,,,"RELEASED AT GAVIOTA STATE BEACH LAT 34.2828, LONG -120.1367"
"Seal, northern elephant",Santa Barbara,GOLETA,GOLETA BEACH BEACHSIDE REST,34.2499,DECIMAL DEGREES,actual,-119.4976,DECIMAL DEGREES,actual,GPS,N,N,,N,N,N,N,,N,,,Y,N,N,N,,Y,N,N,N,Y,WEANER,,3/10/12,Beach or Land,Alive,3/10/12,Alive,N,N,Y,N,N,N,N,,,N,N,N,RELEASED AT GAVIOTA STATE BEACH,N,N,N,Y,N,N,N,N,N,Y,WEANER CHECKED OUT OKAY,,MALE,PUP/CALF,N,N,48,in,actual,189,lb,actual,N,N,N,N,N,,,N,N,N,N,,,N,,,"RELEASED AT GAVIOTA STATE BEACH LAT 34.2828, LONG -120.1367"
"Seal, northern elephant",Santa Barbara,GOLETA,EL CAPITAN STATE BEACH,34.2644,DECIMAL DEGREES,actual,-119.5785,DECIMAL DEGREES,actual,GPS,N,N,,N,N,N,N,,N,,,Y,N,N,N,,Y,N,N,N,Y,WEANER,,3/10/12,Beach or Land,Alive,3/10/12,Alive,N,N,Y,N,N,N,N,,,N,N,N,RELEASED AT GAVIOTA STATE BEACH,N,N,N,Y,N,N,N,N,N,Y,WEANER CHECKED OUT OKAY,,FEMALE,PUP/CALF,N,N,44,in,actual,143,lb,actual,N,N,N,N,N,,,N,N,N,N,,,N,,,"RELEASED AT GAVIOTA STATE BEACH LAT 34.2828, LONG -120.1367"
"Seal, northern elephant",Santa Barbara,SB,SB HARBOR,34.2445,DECIMAL DEGREES,actual,-119.415,DECIMAL DEGREES,actual,GPS,N,N,,N,N,N,N,,N,,,Y,N,N,N,,Y,N,N,N,Y,WEANER,,3/14/12,Beach or Land,Alive,3/14/12,Alive,N,N,Y,N,N,N,N,,,N,N,N,RELEASED AT GAVIOTA STATE BEACH,N,N,N,Y,N,N,N,N,N,Y,WEANER CHECKED OUT OKAY,,MALE,PUP/CALF,N,N,0,in,actual,,lb,actual,N,N,N,N,N,,,N,N,N,N,,,N,,,"RELEASED AT GAVIOTA STATE BEACH LAT 34.2828, LONG -120.1367"
"Seal, northern elephant",Santa Barbara,GOLETA,EL CAPITAN STATE BEACH,34.2757,DECIMAL DEGREES,actual,-120.0155,DECIMAL DEGREES,actual,GPS,N,N,,N,N,N,N,,N,,,Y,N,N,N,,Y,N,N,N,Y,WEANER,,3/14/12,Beach or Land,Alive,3/14/12,Alive,N,N,Y,N,N,N,N,,,N,N,N,RELEASED AT GAVIOTA STATE BEACH,N,N,N,Y,N,N,N,N,N,Y,WEANER CHECKED OUT OKAY,,FEMALE,PUP/CALF,N,N,45,in,actual,159,lb,actual,N,N,N,N,N,,,N,N,N,N,,,N,,,"RELEASED AT GAVIOTA STATE BEACH LAT 34.2828, LONG -120.1367"
"Seal, northern elephant",Santa Barbara,GOLETA,COAL OIL PT.,34.2447,DECIMAL DEGREES,actual,-119.5261,DECIMAL DEGREES,actual,GPS,N,N,,N,N,N,N,,N,,,Y,N,N,N,,Y,N,N,N,Y,WEANER,,3/17/12,Beach or Land,Alive,3/17/12,Alive,N,N,Y,N,N,N,N,,,N,N,N,RELEASED AT GAVIOTA STATE BEACH,N,N,N,Y,N,N,N,N,N,Y,WEANER CHECKED OUT OKAY,,MALE,PUP/CALF,N,N,48,in,actual,176,lb,actual,N,N,N,N,N,,,N,N,N,N,,,N,,,"RELEASED AT GAVIOTA STATE BEACH LAT 34.2828, LONG -120.1367"
"Seal, northern elephant",Santa Barbara,SB,HENDRY'S BEACH,34.2432,DECIMAL DEGREES,actual,-119.4527,DECIMAL DEGREES,actual,GPS,N,N,,N,N,N,N,,N,,,Y,N,N,N,,Y,N,N,N,Y,WEANER,,3/20/12,Beach or Land,Alive,3/20/12,Alive,N,N,Y,N,N,N,N,,,N,N,N,RELEASED AT GAVIOTA STATE BEACH,N,N,N,Y,N,N,N,N,N,Y,WEANER CHECKED OUT OKAY,,FEMALE,PUP/CALF,N,N,0,in,actual,,lb,actual,N,N,N,N,N,,,N,N,N,N,,,N,,,"RELEASED AT GAVIOTA STATE BEACH LAT 34.2828, LONG -120.1367"
"Seal, northern elephant",Santa Barbara,CARPINTERIA,LINDEN AVE,34.2359,DECIMAL DEGREES,actual,-119.3145,DECIMAL DEGREES,actual,GPS,N,N,,N,N,N,N,,N,,,Y,N,N,N,,Y,N,N,N,Y,WEANER,,3/21/12,Beach or Land,Alive,3/21/12,Alive,N,N,Y,N,N,N,N,,,N,N,N,RELEASED AT GAVIOTA STATE BEACH,N,N,N,Y,N,N,N,N,N,Y,WEANER CHECKED OUT OKAY,,MALE,PUP/CALF,N,N,43,in,actual,149,lb,actual,N,N,N,N,N,,,N,N,N,N,,,N,,,"RELEASED AT GAVIOTA STATE BEACH LAT 34.2828, LONG -120.1367"
"Seal, northern elephant",Santa Barbara,GOLETA,GARIOTA BEACH PARK,34.2828,DECIMAL DEGREES,actual,-119.1367,DECIMAL DEGREES,actual,GPS,N,N,,N,N,N,N,,N,,,Y,N,N,N,,Y,N,N,N,Y,WEANER,,3/21/12,Beach or Land,Alive,3/21/12,Alive,N,N,Y,N,N,N,N,,,N,N,N,RELEASED AT GAVIOTA STATE BEACH,N,N,N,Y,N,N,N,N,N,Y,WEANER CHECKED OUT OKAY,,MALE,PUP/CALF,N,N,56,in,actual,253,lb,actual,N,N,N,N,N,,,N,N,N,N,,,N,,,"RELEASED AT GAVIOTA STATE BEACH LAT 34.2828, LONG -120.1367"
"Seal, northern elephant",Santa Barbara,CARPINTERIA,PADERO LN,34.2459,DECIMAL DEGREES,actual,-119.332,DECIMAL DEGREES,actual,GPS,N,N,,N,N,N,N,,N,,,Y,N,N,N,,Y,N,N,N,Y,WEANER,,3/21/12,Beach or Land,Alive,3/21/12,Alive,N,N,Y,N,N,N,N,,,N,N,N,RELEASED AT GAVIOTA STATE BEACH,N,N,N,Y,N,N,N,N,N,Y,WEANER CHECKED OUT OKAY,,FEMALE,PUP/CALF,N,N,46,in,actual,161,lb,actual,N,N,N,N,N,,,N,N,N,N,,,N,,,"RELEASED AT GAVIOTA STATE BEACH LAT 34.2828, LONG -120.1367"
"Seal, northern elephant",Santa Barbara,GOLETA,ELLWOOD BEACH,34.252,DECIMAL DEGREES,actual,-119.536,DECIMAL DEGREES,actual,GPS,N,N,,N,N,N,N,,N,,,Y,N,N,N,,Y,N,N,N,Y,WEANER,,3/21/12,Beach or Land,Alive,3/21/12,Alive,N,N,Y,N,N,N,N,,,N,N,N,RELEASED AT GAVIOTA STATE BEACH,N,N,N,Y,N,N,N,N,N,Y,WEANER CHECKED OUT OKAY,,FEMALE,PUP/CALF,N,N,46,in,actual,155,lb,actual,N,N,N,N,N,,,N,N,N,N,,,N,,,"RELEASED AT GAVIOTA STATE BEACH LAT 34.2828, LONG -120.1367"
"Seal, northern elephant",Santa Barbara,CARPINTERIA,LOAN PT.,34.2493,DECIMAL DEGREES,actual,-119.3409,DECIMAL DEGREES,actual,GPS,N,N,,N,N,N,N,,N,,,Y,N,N,N,,Y,N,N,N,Y,WEANER,,3/21/12,Beach or Land,Alive,3/21/12,Alive,N,N,Y,N,N,N,N,,,N,N,N,RELEASED AT GAVIOTA STATE BEACH,N,N,N,Y,N,N,N,N,N,Y,WEANER CHECKED OUT OKAY,,FEMALE,PUP/CALF,N,N,47,in,actual,170,lb,actual,N,N,N,N,N,,,N,N,N,N,,,N,,,"RELEASED AT GAVIOTA STATE BEACH LAT 34.2828, LONG -120.1367"
"Seal, northern elephant",Santa Barbara,CARPINTERIA,RINCON PT.,34.226,DECIMAL DEGREES,actual,-119.2874,DECIMAL DEGREES,actual,GPS,N,N,,N,N,N,N,,N,,,Y,N,N,N,,CBD,N,N,N,Y,WEANER,,3/22/12,Beach or Land,Alive,3/22/12,Alive,N,N,Y,N,N,N,N,,,N,N,N,RELEASED AT GAVIOTA STATE BEACH,N,N,N,Y,N,N,N,N,N,Y,WEANER CHECKED OUT OKAY,,MALE,PUP/CALF,N,N,49,in,actual,188,lb,actual,N,N,N,N,N,,,N,N,N,N,,,N,,,"RELEASED AT GAVIOTA STATE BEACH LAT 34.2828, LONG -120.1367"
"Seal, northern elephant",Santa Barbara,GOLETA,GOLETA BEACH BEACHSIDE RESTAURANT,34.2499,DECIMAL DEGREES,actual,-119.4976,DECIMAL DEGREES,actual,GPS,N,N,,N,N,N,N,,N,,,Y,N,N,N,,Y,N,N,N,Y,WEANER,,3/22/12,Beach or Land,Alive,3/22/12,Alive,N,N,Y,N,N,N,N,,,N,N,N,RELEASED AT GAVIOTA STATE BEACH,N,N,N,Y,N,N,N,N,N,Y,WEANER CHECKED OUT OKAY,,MALE,PUP/CALF,N,N,54,in,actual,241,lb,actual,N,N,N,N,N,,,N,N,N,N,,,N,,,"RELEASED AT GAVIOTA STATE BEACH LAT 34.2828, LONG -120.1367"
"Seal, northern elephant",Santa Barbara,CARPINTERIA,TARPITS,34.2323,DECIMAL DEGREES,actual,-119.3084,DECIMAL DEGREES,actual,GPS,N,N,,N,N,N,N,,N,,,Y,N,N,N,,Y,N,N,N,Y,WEANER,,3/22/12,Beach or Land,Alive,3/22/12,Alive,N,N,Y,N,N,N,N,,,N,N,N,RELEASED AT GAVIOTA STATE BEACH,N,N,N,Y,N,N,N,N,N,Y,WEANER CHECKED OUT OKAY,,FEMALE,PUP/CALF,N,N,50,in,actual,188,lb,actual,N,N,N,N,N,,,N,N,N,N,,,N,,,"RELEASED AT GAVIOTA STATE BEACH LAT 34.2828, LONG -120.1367"
"Seal, northern elephant",Santa Barbara,SB,CORAL CASINO,34.2497,DECIMAL DEGREES,actual,-119.3852,DECIMAL DEGREES,actual,GPS,N,N,,N,N,N,N,,N,,,Y,N,N,N,,Y,N,N,N,Y,WEANER,,3/23/12,Beach or Land,Alive,3/23/12,Alive,N,N,Y,N,N,N,N,,,N,N,N,RELEASED AT GAVIOTA STATE BEACH,N,N,N,Y,N,N,N,N,N,Y,WEANER CHECKED OUT OKAY,,MALE,PUP/CALF,N,N,53,in,actual,206,lb,actual,N,N,N,N,N,,,N,N,N,N,,,N,,,"RELEASED AT GAVIOTA STATE BEACH LAT 34.2828, LONG -120.1367"
"Seal, northern elephant",Santa Barbara,SB,STEARNS WHARF,34.2468,DECIMAL DEGREES,actual,-119.4127,DECIMAL DEGREES,actual,GPS,N,N,,N,N,N,N,,N,,,Y,N,N,N,,Y,N,N,N,Y,WEANER,,3/24/12,Beach or Land,Alive,3/24/12,Alive,N,N,Y,N,N,N,N,,,N,N,N,RELEASED AT GAVIOTA STATE BEACH,N,N,N,Y,N,N,N,N,N,Y,WEANER CHECKED OUT OKAY,,MALE,PUP/CALF,N,N,51,in,actual,212,lb,actual,N,N,N,N,N,,,N,N,N,N,,,N,,,"RELEASED AT GAVIOTA STATE BEACH LAT 34.2828, LONG -120.1367"
"Seal, northern elephant",Santa Barbara,SUMMERLAND,LOOKOUT PARK,34.2516,DECIMAL DEGREES,actual,-119.3607,DECIMAL DEGREES,actual,GPS,N,N,,N,N,N,N,,N,,,Y,N,N,N,,Y,N,N,N,Y,WEANER,,3/24/12,Beach or Land,Alive,3/24/12,Alive,N,N,Y,N,N,N,N,,,N,N,N,RELEASED AT GAVIOTA STATE BEACH,N,N,N,Y,N,N,N,N,N,Y,WEANER CHECKED OUT OKAY,,FEMALE,PUP/CALF,N,N,47,in,actual,199,lb,actual,N,N,N,N,N,,,N,N,N,N,,,N,,,"RELEASED AT GAVIOTA STATE BEACH LAT 34.2828, LONG -120.1367"
"Seal, northern elephant",Santa Barbara,SB,HOPE RANCH/ MORE MESA,34.25,DECIMAL DEGREES,actual,-119.4719,DECIMAL DEGREES,actual,GPS,N,N,,N,N,N,N,,N,,,Y,N,N,N,,Y,N,N,N,Y,WEANER,,3/26/12,Beach or Land,Alive,3/26/12,Alive,N,N,Y,N,N,N,N,,,N,N,N,RELEASED AT GAVIOTA STATE BEACH,N,N,N,Y,N,N,N,N,N,Y,WEANER CHECKED OUT OKAY,,MALE,PUP/CALF,N,N,48,in,actual,169,lb,actual,N,N,N,N,N,,,N,N,N,N,,,N,,,"RELEASED AT GAVIOTA STATE BEACH LAT 34.2828, LONG -120.1367"
